Temperature (K)	Magnetic Field (Oe)	Moment (emu)	M. Std. Err. (emu)
10.00070715	2042.693298	0.00021674	4.11E-07
10.00086212	2032.710571	0.000216866	3.87E-07
10.00089931	2022.715942	0.000217235	4.02E-07
10.00084925	2012.159363	0.000216975	4.46E-07
10.00062466	2002.685181	0.000216908	3.72E-07
10.00056028	1992.585815	0.00021685	3.95E-07
10.0004797	1982.597107	0.000216905	4.20E-07
10.00031281	1972.616943	0.000216753	4.08E-07
10.00006962	1962.732178	0.000216496	3.78E-07
9.999865055	1952.265747	0.000216943	4.40E-07
9.999803543	1942.649597	0.000216597	4.20E-07
9.999756336	1932.821106	0.000217019	4.05E-07
9.999855518	1923.33728	0.000216877	3.59E-07
9.999949455	1912.701782	0.000216663	4.08E-07
9.999998569	1902.743408	0.000216762	4.10E-07
10.0000391	1893.22168	0.000216831	3.42E-07
9.999874592	1882.786072	0.000217007	4.09E-07
9.999693394	1872.727295	0.000216853	4.25E-07
9.999707222	1862.794983	0.000216911	3.31E-07
9.999817371	1852.828003	0.000216743	4.26E-07
9.999730587	1843.382324	0.000217138	3.74E-07
9.999616146	1832.745239	0.000216621	3.59E-07
9.999619484	1822.354675	0.000216768	4.30E-07
9.999485493	1812.259644	0.000216396	3.76E-07
9.999405861	1802.741272	0.000216908	3.64E-07
9.999385834	1792.824463	0.00021677	3.45E-07
9.999597549	1782.86615	0.000216848	4.78E-07
9.999843597	1772.731262	0.000216971	4.13E-07
10.00010204	1763.32959	0.000216913	8.83E-07
10.00032854	1753.110168	0.000216576	3.44E-07
10.00050306	1743.104248	0.000216651	3.94E-07
10.00041199	1733.162354	0.000216584	3.86E-07
10.00019407	1723.108704	0.000216493	4.01E-07
9.999979973	1713.605957	0.000216734	4.14E-07
9.99981308	1703.520508	0.000216736	4.35E-07
9.999811172	1693.540466	0.000216279	3.29E-07
9.999860764	1683.563965	0.00021662	3.35E-07
9.999777794	1673.664429	0.000216563	3.85E-07
9.999557495	1663.492554	0.000216537	3.82E-07
9.999494076	1653.161682	0.000216357	3.96E-07
9.99952507	1643.20575	0.000216601	3.11E-07
9.999481678	1633.215454	0.000216662	3.38E-07
9.999577999	1623.721436	0.000216571	3.63E-07
9.999729633	1613.067688	0.000216332	3.59E-07
9.99994278	1603.556274	0.000216553	3.56E-07
10.0000267	1593.308533	0.000216326	3.91E-07
9.999960899	1583.261963	0.000215965	4.31E-07
9.999997139	1573.612183	0.000216395	4.25E-07
10.00009108	1563.150513	0.000216284	3.98E-07
10.00020504	1553.200012	0.000216616	3.70E-07
10.00019836	1543.751831	0.000216587	3.61E-07
10.0001111	1533.775208	0.000216323	4.94E-07
10.00010347	1523.646301	0.000216317	3.13E-07
10.00005722	1513.305176	0.000216039	4.49E-07
10.0001173	1503.724548	0.000216114	4.23E-07
10.0002737	1493.676208	0.000216227	3.67E-07
10.00036526	1483.572449	0.000215934	3.55E-07
10.00042725	1473.562256	0.000216307	3.81E-07
10.00042439	1463.679993	0.000216062	3.62E-07
10.00055408	1453.686279	0.000216378	4.03E-07
10.00050497	1442.649841	0.000216096	3.94E-07
10.00037527	1433.705505	0.00021617	4.25E-07
10.00019217	1423.769592	0.000215998	4.12E-07
10.00014257	1413.205872	0.000216071	4.04E-07
10.00010109	1403.1698	0.000216152	3.92E-07
10.00003624	1393.663635	0.000216216	3.36E-07
9.999922276	1383.863586	0.00021603	3.65E-07
9.999702454	1373.696777	0.000216218	4.74E-07
9.999524117	1363.261963	0.000216146	3.51E-07
9.99946022	1353.738403	0.000215854	4.56E-07
9.999558926	1343.830261	0.000216098	4.44E-07
9.999666691	1333.934143	0.000215795	4.15E-07
9.999662399	1323.977539	0.000216066	4.18E-07
9.999747753	1313.744873	0.000216068	4.44E-07
9.999754906	1304.373596	0.000215458	3.56E-07
9.999611855	1293.957214	0.000215535	3.79E-07
9.999608517	1283.405701	0.000215516	4.11E-07
9.999845028	1273.982605	0.000215592	3.77E-07
10.00017071	1263.896118	0.00021555	4.45E-07
10.00040054	1253.885864	0.000215575	3.63E-07
10.00052929	1243.867859	0.00021541	4.43E-07
10.00045633	1233.90509	0.000215642	3.03E-07
10.00046396	1223.842102	0.00021567	4.56E-07
10.00048733	1214.363342	0.000214974	3.41E-07
10.00024271	1203.925354	0.000215574	3.85E-07
9.999938488	1194.512634	0.000215306	4.35E-07
9.999823093	1184.517944	0.000215346	4.10E-07
9.999755383	1174.513733	0.000215054	3.83E-07
9.99970293	1164.470642	0.000215308	4.11E-07
9.99978447	1154.463867	0.000214953	4.43E-07
9.999864101	1143.895752	0.000215268	3.52E-07
9.999878883	1134.481201	0.0002151	4.44E-07
9.999940395	1124.409546	0.00021495	3.16E-07
10.00009346	1114.337036	0.000215027	4.15E-07
10.00028133	1104.329407	0.000215303	4.13E-07
10.00038004	1094.341614	0.000215043	4.55E-07
10.00037098	1083.92511	0.000215075	4.04E-07
10.00041437	1073.871582	0.000214756	3.38E-07
10.00041676	1064.38092	0.000214766	3.84E-07
10.00012922	1054.433899	0.000214599	3.92E-07
9.999762535	1043.968872	0.000214403	4.04E-07
9.999440193	1034.066956	0.00021442	3.64E-07
9.999285221	1024.582214	0.000214324	3.85E-07
9.999370098	1014.38681	0.000214846	4.08E-07
9.999433994	1004.389526	0.000214427	4.17E-07
9.99943924	994.4995117	0.000214479	3.69E-07
9.999372959	983.985199	0.000214258	5.93E-07
9.999238968	974.5490112	0.000213999	3.83E-07
9.99916935	964.5309448	0.000214267	3.69E-07
9.999211311	954.490387	0.000214196	3.50E-07
9.999380112	944.4576721	0.000214326	3.57E-07
9.999518394	934.1251221	0.00021416	3.64E-07
9.999494076	924.0118713	0.00021418	3.50E-07
9.999501705	914.4078674	0.00021362	3.81E-07
9.999564171	904.4348145	0.000214129	4.81E-07
9.999619961	894.5007019	0.000213759	3.37E-07
9.999666691	884.4913635	0.000213293	4.37E-07
9.999694347	874.5710144	0.000213886	5.63E-07
9.999600887	864.6566772	0.000213234	4.34E-07
9.999678612	854.2644348	0.000213605	3.66E-07
9.999805927	844.6578674	0.000213399	4.10E-07
9.999798298	834.6821899	0.000213381	3.56E-07
9.999751568	824.7091064	0.000213264	3.29E-07
9.999725342	814.720459	0.000213162	3.87E-07
9.999888897	804.6583252	0.000213259	3.32E-07
9.999946117	794.7009583	0.000212934	4.10E-07
9.999697685	784.6915283	0.000213019	4.46E-07
9.999553204	775.0995483	0.000213089	3.36E-07
9.999611378	764.1149597	0.000212521	4.76E-07
9.99968195	753.3536987	0.00021249	4.44E-07
9.999813557	743.7080383	0.000212788	4.52E-07
9.999863625	734.717926	0.000212103	4.34E-07
9.999805927	725.1952515	0.000212038	3.17E-07
9.999981403	714.7251282	0.000212295	4.54E-07
10.00014973	704.6603394	0.000211907	3.88E-07
10.00016308	694.6943054	0.000211896	4.45E-07
10.00012398	685.1897583	0.00021177	4.36E-07
10.00005674	674.5975647	0.000211828	3.92E-07
10.00010681	664.7119446	0.000211538	4.72E-07
10.0001502	654.2487183	0.000211351	4.06E-07
9.999994755	645.2663879	0.000211564	4.43E-07
9.999869823	634.7209473	0.000211226	4.30E-07
9.999969006	624.7098389	0.000211308	4.43E-07
9.999958992	615.2391052	0.000210688	4.23E-07
9.999630928	604.316864	0.000210874	3.54E-07
9.999390602	594.8988647	0.000211079	3.44E-07
9.999227047	584.8825378	0.000210862	3.97E-07
9.999232292	574.7623291	0.000210348	3.81E-07
9.999375343	565.2396851	0.000209781	3.15E-07
9.99998045	554.6397095	0.000209957	3.82E-07
10.00012398	544.8258972	0.000210518	4.12E-07
10.00008154	534.8415527	0.00020989	3.67E-07
9.999854088	525.1855774	0.000209502	3.68E-07
9.999628067	514.7257996	0.000209949	3.73E-07
9.999575138	504.661026	0.000209478	3.86E-07
9.999565125	495.2433777	0.000209314	4.46E-07
9.999619484	484.6153412	0.00020898	3.55E-07
9.999630451	475.2627716	0.000208851	4.13E-07
9.999577999	465.2568665	0.000208844	3.60E-07
9.999525547	454.850708	0.000208451	4.99E-07
9.999610901	445.3640442	0.000208613	4.23E-07
9.999897003	434.7891235	0.000208129	4.02E-07
10.00017023	425.3014069	0.000207734	4.49E-07
10.00021839	414.8361053	0.000208042	3.32E-07
10.00015926	405.3039398	0.000207602	4.16E-07
10.00020838	395.2192383	0.000207301	4.46E-07
10.00020266	384.8338776	0.000207481	3.95E-07
10.00023365	375.2620544	0.000207272	3.92E-07
10.00033617	364.7691803	0.000206732	4.76E-07
10.0002737	354.8039703	0.000206713	3.36E-07
10.00003338	345.3557281	0.000206353	3.70E-07
9.999790192	335.2831421	0.000205906	3.99E-07
9.999735355	325.3135071	0.000205688	4.58E-07
9.999808311	315.2616577	0.000205368	4.50E-07
9.999833584	305.3647003	0.000205034	3.24E-07
9.99978447	294.8626404	0.000205352	3.79E-07
9.99972868	284.8229523	0.00020476	3.85E-07
9.999731541	275.2890778	0.00020429	3.06E-07
9.99985981	265.2814026	0.000204227	3.45E-07
9.999901295	255.3120651	0.000204022	4.67E-07
9.999758244	245.8196716	0.000203263	3.42E-07
9.999596119	235.3501129	0.000203167	3.44E-07
9.999464989	225.7490311	0.000202969	3.81E-07
9.999376297	215.3616562	0.000202286	4.38E-07
9.999425888	205.8813705	0.00020206	4.15E-07
9.999733448	195.8434372	0.000201789	3.91E-07
9.999986649	185.8348618	0.000201288	3.91E-07
10.00001049	175.215889	0.000201051	3.36E-07
10.00007343	164.8643723	0.000200514	4.23E-07
10.00004864	155.8854904	0.00020002	4.55E-07
9.999991894	145.8854752	0.000199505	4.21E-07
10.0000968	135.7878265	0.000198983	4.31E-07
10.00014257	124.8916893	0.000198381	3.43E-07
9.999951363	115.3577385	0.00019776	3.65E-07
9.999697208	105.394989	0.000197241	3.67E-07
9.999484062	95.37516403	0.000196209	4.50E-07
9.999386787	85.48091888	0.000196149	3.35E-07
9.999457836	75.31573486	0.000194996	4.42E-07
9.99949646	64.87932014	0.000194783	3.71E-07
9.999538898	55.34195709	0.000193484	4.56E-07
9.999482632	44.80862236	0.000192643	4.06E-07
9.999284267	35.2487545	0.000191664	3.78E-07
9.999213219	25.7632761	0.000190758	4.13E-07
9.999256134	15.96763992	0.000189223	3.84E-07
9.999230385	5.934901834	0.000187689	4.22E-07
9.999307156	-4.631675892	0.000185912	3.74E-07
9.999475479	-14.1306138	0.000183782	3.66E-07
9.999785423	-24.60721493	0.000180689	3.98E-07
10.00011539	-34.63264179	0.000175596	4.67E-07
10.00017977	-44.6991272	0.000166565	7.19E-07
10.00027037	-54.20019531	0.000148355	1.31E-06
10.00037479	-64.17323875	0.000116033	1.67E-06
10.00058842	-74.21899414	7.88E-05	1.69E-06
10.00074291	-84.27252197	4.75E-05	1.31E-06
10.0006032	-94.19272232	2.63E-05	8.43E-07
10.00045872	-104.6975021	1.11E-05	5.52E-07
10.00038815	-114.1803322	9.36E-07	4.79E-07
10.00035191	-124.588253	-6.08E-06	5.19E-07
10.00022173	-134.6417694	-1.17E-05	4.47E-07
10.00008821	-144.1869583	-1.58E-05	4.44E-07
9.999936581	-154.2318497	-1.98E-05	3.30E-07
9.999787331	-164.222229	-2.33E-05	4.64E-07
9.999647141	-174.2238083	-2.74E-05	4.02E-07
9.999628544	-184.196907	-3.05E-05	4.39E-07
9.999627113	-194.2123795	-3.43E-05	3.36E-07
9.999736786	-204.2597733	-3.84E-05	4.79E-07
9.999927521	-214.7137299	-4.37E-05	4.35E-07
10.00004244	-225.0910492	-4.93E-05	5.74E-07
10.00017214	-233.9938354	-5.73E-05	6.69E-07
10.00031567	-243.9365921	-7.47E-05	1.17E-06
10.00036335	-254.5702896	-0.00011003	2.15E-06
10.00025415	-264.0566101	-0.000153854	1.84E-06
10.00013399	-274.0884857	-0.000178623	7.88E-07
10.00008726	-284.1264496	-0.000187541	4.49E-07
10.00008631	-294.1133423	-0.000191663	3.77E-07
9.999973297	-304.0803223	-0.000193488	3.66E-07
9.999662876	-314.6015778	-0.000194574	4.16E-07
9.999444962	-324.5632629	-0.000196251	3.65E-07
9.999320984	-334.0340576	-0.000197172	3.36E-07
9.999336243	-344.5345154	-0.000197558	4.32E-07
9.999717712	-354.6520996	-0.000198667	4.47E-07
9.999677181	-364.1669922	-0.000198934	3.86E-07
9.999500275	-374.1132355	-0.000199635	3.67E-07
9.999396801	-384.0750122	-0.000200243	4.22E-07
9.999435902	-394.1042938	-0.000200469	4.13E-07
9.999648571	-404.0514221	-0.000201091	4.59E-07
9.999623299	-414.4644165	-0.000201402	5.02E-07
9.999618053	-424.582016	-0.000201923	3.25E-07
9.999697208	-434.4597626	-0.000202262	3.86E-07
9.999723434	-444.0309143	-0.000202836	4.80E-07
9.999960899	-454.041214	-0.000202871	4.39E-07
10.00040007	-464.5407562	-0.000203616	3.38E-07
10.00052977	-474.0348816	-0.000204044	3.90E-07
10.00045061	-484.0460663	-0.000204329	3.69E-07
10.00039768	-494.0744476	-0.000204629	4.07E-07
10.00029898	-504.0597839	-0.000205191	3.62E-07
10.00027132	-514.5297546	-0.000205424	4.00E-07
10.00032425	-524.0975037	-0.000205082	3.46E-07
10.00052881	-533.6505127	-0.000205384	4.57E-07
10.0008049	-543.5585938	-0.000206231	3.26E-07
10.00072765	-554.5535278	-0.00020657	3.84E-07
10.00074577	-563.9810486	-0.00020618	4.04E-07
10.00082159	-573.9818115	-0.000206785	3.55E-07
10.00088978	-584.0422363	-0.000206931	3.56E-07
10.00110483	-594.0091858	-0.000206933	4.04E-07
10.00133038	-603.9934998	-0.000207303	3.51E-07
10.00133801	-614.0230408	-0.000207071	3.09E-07
10.00111198	-624.0419617	-0.000207501	3.64E-07
10.00089264	-634.0727844	-0.000207689	2.56E-07
10.00074339	-643.5625916	-0.000208238	3.61E-07
10.00066662	-654.0718384	-0.000208167	4.09E-07
10.00052023	-663.6037903	-0.00020815	4.28E-07
10.00059605	-673.492157	-0.000208412	4.11E-07
10.00074911	-683.9086609	-0.000209406	3.74E-07
10.0008955	-693.8886108	-0.000208563	3.76E-07
10.00097179	-703.9326477	-0.000208529	3.69E-07
10.00064516	-713.9030457	-0.00020875	3.95E-07
10.00043917	-723.8951721	-0.000209063	3.37E-07
10.00016117	-733.3494568	-0.000209438	4.08E-07
9.999709129	-743.3727112	-0.000209851	3.39E-07
9.99932766	-753.9276733	-0.000209865	4.01E-07
9.999196529	-763.5135193	-0.000209549	4.09E-07
9.999168873	-773.4779358	-0.00021027	3.51E-07
9.999235153	-783.3904114	-0.000209789	3.31E-07
9.999500275	-793.8770447	-0.000210049	4.13E-07
9.999783993	-803.947052	-0.000210241	3.21E-07
10.00008535	-814.5417175	-0.000210326	3.57E-07
10.00017452	-823.5162354	-0.000210371	4.06E-07
10.00019073	-832.9204102	-0.000210647	3.62E-07
10.00024223	-842.8311157	-0.000210552	3.81E-07
10.00029612	-853.9463501	-0.000210647	3.12E-07
10.00030088	-863.4153748	-0.000210805	4.44E-07
10.00027704	-873.3529968	-0.000210866	3.68E-07
10.00034809	-883.850769	-0.000211018	3.78E-07
10.00039053	-893.7780457	-0.000211106	5.57E-07
10.00057554	-903.1796265	-0.000211402	3.64E-07
